positive_score,negative_score,neutral_score,open_price,close_price,high_price,low_price,volume,total_words,total_hashtag,class_label
21.05,10.53,68.42,168.39,161.23,169.92,164.94,41028800,553,55,-1
20,25,55,170,165.05,172.68,168.6,41490800,586,20,-1
24.53,9.43,66.04,175.04,167.42,175.09,171.26,37054900,682,20,-1
43.9,4.88,51.22,175.24,171.3,176.8,174.94,19649400,516,32,-1
21.15,13.46,65.38,177.32,171.36,177.47,173.66,33446800,695,43,-1
27.5,5,67.5,178.65,174.02,179.12,177.62,39404700,511,31,-1
30.36,14.29,55.36,178.5,174.63,180.24,178.07,22743800,763,53,1
26.09,15.22,58.7,180.32,174.43,180.52,177.81,29368400,715,28,-1
26.32,8.77,64.91,182.59,175.92,183.5,179.24,31693500,815,82,-1
30.43,10.87,58.7,180.29,177.63,182.39,180.21,32207100,606,37,1
